unique_id,lat,lng,ds,h3
5102241,-20.3519582,-40.2991345,2024-03-04 10:37:12.077,87a895768ffffff
5123736,-20.239388,-40.3693468,2024-03-12 20:05:53.313,87a89529cffffff
5621219,-20.3444391,-40.2841594,2024-12-13 23:13:51.110,87a89576affffff
5462256,-20.2790297,-40.2958256,2024-09-15 18:48:58.737,87a89574bffffff
5313870,-20.265291,-40.282765,2024-06-13 20:56:57.387,87a895665ffffff
5768367,-20.2616597,-40.2833489,2025-04-04 14:51:28.063,87a895665ffffff
5277874,-20.2549317,-40.2692117,2024-05-26 10:56:37.307,87a895660ffffff
5718871,-20.3558446,-40.2980935,2025-02-24 17:33:50.487,87a895768ffffff
5326194,-20.2914192,-40.3029525,2024-06-20 09:45:16.910,87a895749ffffff
5733512,-20.2616597,-40.2833489,2025-03-11 13:34:26.483,87a895665ffffff
5774619,-20.3142026,-40.2910774,2025-04-08 16:46:33.797,87a895748ffffff
5227914,-20.3428555,-40.2853664,2024-05-01 18:26:13.470,87a89576affffff
5741114,-20.2929929,-40.2975744,2025-03-16 09:42:39.813,87a895749ffffff
5728531,-20.3338717,-40.2811495,2025-03-06 18:02:25.977,87a89574cffffff
5216597,-20.342364,-40.3107945,2024-04-26 08:05:47.920,87a89576bffffff
5173859,-20.2751752,-40.2981321,2024-04-05 20:00:22.463,87a895296ffffff
5795488,-20.1499336,-40.2626475,2025-04-25 09:57:50.183,87a89564effffff
5415999,-20.2951787,-40.2956809,2024-08-15 22:58:45.577,87a895749ffffff
5445607,-20.3180151,-40.3253441,2024-09-04 08:01:51.800,87a8952b6ffffff
5446700,-20.2718872,-40.2876447,2024-09-04 23:54:21.700,87a89574bffffff
5692489,-20.278805,-40.2949821,2025-02-05 15:34:49.637,87a89574bffffff
5786671,-20.3715263,-40.3058285,2025-04-17 06:37:08.410,87a89576cffffff
5281539,-20.3403683,-40.2852313,2024-05-28 13:16:10.243,87a89576affffff
5188462,-20.3133813,-40.3102111,2024-04-12 17:00:10.603,87a89574dffffff
5265361,-20.3666832,-40.3218559,2024-05-19 20:42:07.010,87a89576dffffff
5606650,-20.2987224,-40.34771,2024-12-08 19:10:50.023,87a8952b3ffffff
4992388,-20.2647139,-40.2572037,2024-01-06 18:18:05.683,87a895664ffffff
5319175,-20.3157891,-40.294707,2024-06-16 18:44:03.110,87a89574dffffff
5364669,-20.2970243,-40.311096,2024-07-12 10:01:12.743,87a895749ffffff
5640674,-20.2923763,-40.2356296,2024-12-24 17:52:46.730,87a895759ffffff
5461842,-20.2993728,-40.2992336,2024-09-15 11:09:17.790,87a895749ffffff
5699692,-20.29654,-40.29745,2025-02-10 09:30:19.500,87a895749ffffff
5486256,-20.2300858,-40.2548581,2024-10-02 02:42:24.263,87a895663ffffff
5727932,-20.2914192,-40.3029525,2025-03-06 08:39:05.543,87a895749ffffff
5393744,-20.2960737,-40.2913445,2024-08-02 10:52:23.027,87a895748ffffff
